,Analysts,Ticker,Report,Quarters,Points,Points_Estimate,Estimate_rate,Accuracy
1170,Analyst_5597176,ECPG,Feb 23,1,-16,-16,3.5%,16%
1171,Analyst_5597176,RIGL,Mar 8,1,-5,-5,39.6%,68%
1172,Analyst_5597176,VRTX,Feb 2,1,-6,-6,4.2%,58%
1173,Analyst_5597176,UNH,Jan 18,1,30,30,1.7%,67%
1174,Analyst_5597176,MRK,Feb 3,1,31,31,1.9%,74%
1175,Analyst_5597176,BMY,Feb 4,1,17,17,22.8%,37%
1176,Analyst_5597176,TRI,Feb 22,1,-10,-10,19.2%,15%
1177,Analyst_5597176,DAL,Jan 18,1,-7,-7,9.3%,34%
1178,Analyst_5597176,CSCO,Feb 16,1,-4,-4,2.1%,33%
1179,Analyst_5597176,PANW,Mar 1,1,-6,-6,5.7%,60%
1180,Analyst_5597176,SPSC,Feb 8,1,10,10,8.2%,60%
1181,Analyst_5597176,AMD,Feb 1,1,-5,-5,3.8%,56%
1182,Analyst_5597176,MKSI,Feb 1,1,23,23,8.3%,58%
1183,Analyst_5597176,POWI,Feb 3,1,3,3,2.6%,34%
1184,Analyst_5597176,AMAT,Feb 16,1,-5,-5,3.8%,58%
1185,Analyst_5597176,AZTA,Feb 2,1,16,16,3.2%,60%
1186,Analyst_5597176,ATVI,Feb 10,1,7,7,12.6%,56%
1187,Analyst_5597176,SPLK,Mar 3,1,2,2,6.2%,37%
1188,Analyst_703153,UAA,Feb 15,4,-45,-11.3,45.1%,21%
1189,Analyst_703153,LC,Feb 22,4,-33,-8.3,44.0%,38%
1190,Analyst_703153,ENDP,Mar 1,4,-22,-5.5,10.8%,12%
1191,Analyst_703153,HIBB,Mar 11,4,-79,-19.8,29.3%,21%
1192,Analyst_703153,DKS,Mar 8,4,9,2.3,14.4%,39%
1193,Analyst_703153,FL,Feb 25,4,-40,-10,14.8%,30%
1194,Analyst_703153,MOMO,Mar 15,3,43,14.3,3.9%,64%
1195,Analyst_703153,SQ,Mar 2,3,58,19.3,8.8%,46%
1196,Analyst_703153,AAPL,Feb 1,2,16,8,8.3%,59%
1197,Analyst_703153,DIS,Feb 8,2,10,5,14.6%,46%
1198,Analyst_703153,BBBY,Jan 6,2,41,20.5,8.7%,68%
1199,Analyst_703153,IBM,Jan 24,2,19,9.5,1.1%,67%
1200,Analyst_703153,CMI,Feb 8,2,34,17,3.0%,69%
1201,Analyst_703153,NLOK,Feb 3,2,69,34.5,4.5%,70%
1202,Analyst_703153,VRTX,Feb 2,2,23,11.5,5.7%,60%
1203,Analyst_703153,GOLD,Feb 16,2,12,6,13.1%,51%
1204,Analyst_703153,AXP,Jan 20,2,31,15.5,8.2%,67%
1205,Analyst_703153,EBS,Feb 24,2,13,6.5,62.9%,57%
1206,Analyst_703153,BHC,Feb 23,2,40,20,10.9%,61%
1207,Analyst_703153,DISH,Feb 23,1,22,22,0.8%,75%
1208,Analyst_703153,VIAC,Feb 17,1,-6,-6,10.3%,49%
1209,Analyst_703153,TAP,Feb 24,1,15,15,8.2%,33%
1210,Analyst_703153,PLCE,Mar 8,1,18,18,16.8%,74%
1211,Analyst_703153,SBH,Feb 3,1,-7,-7,7.2%,50%
1212,Analyst_703153,DECK,Feb 3,1,-4,-4,7.1%,83%
1213,Analyst_703153,HD,Feb 22,1,31,31,3.3%,48%
1214,Analyst_703153,GIS,Dec 21,1,19,19,1.2%,89%
1215,Analyst_703153,BBY,Mar 2,1,20,20,5.2%,56%
1216,Analyst_703153,KR,Mar 3,1,13,13,1.6%,65%
1217,Analyst_703153,AAP,Feb 22,1,9,9,4.3%,73%
1218,Darren Aftahi,MCHX,Feb 17,24,-21,-0.9,41.0%,26%
1219,Darren Aftahi,ETSY,Mar 1,24,-40,-1.7,30.0%,38%
1220,Darren Aftahi,SHOP,Feb 16,23,175,7.6,36.2%,42%
1221,Darren Aftahi,ALRM,Mar 1,21,83,4,18.2%,17%
1222,Darren Aftahi,MITK,Jan 27,16,199,12.4,11.0%,48%
1223,Darren Aftahi,GRUB,Dec 10,10,40,4,10.9%,39%
1224,Darren Aftahi,YELP,Feb 9,8,13,1.5,39.2%,39%
1225,Darren Aftahi,IMAX,Feb 24,8,111,13.9,14.1%,53%
1226,Darren Aftahi,ANGI,Feb 9,5,32,6.4,37.1%,38%
1227,Darren Aftahi,APPS,Feb 8,2,-18,-9,8.9%,31%
1228,Jagator904,JPM,Jan 14,12,144,12,7.0%,58%
1229,Jagator904,NVDA,Feb 17,11,171,15.5,14.8%,56%
1230,Jagator904,NFLX,Jan 18,8,86,10.8,12.0%,58%
1231,Jagator904,BAC,Jan 18,8,162,20.3,8.4%,59%
1232,Jagator904,AAPL,Feb 1,7,136,19.4,3.7%,70%
1233,Jagator904,ANF,Mar 2,7,35,5,25.4%,54%
1234,Jagator904,CRM,Mar 1,6,175,29.2,6.3%,66%
1235,Jagator904,LULU,Dec 9,6,79,13.2,16.1%,53%
1236,Jagator904,TSLA,Feb 2,6,96,16,14.2%,70%
1237,Jagator904,IBM,Jan 24,5,10,2,2.0%,51%
1238,Jagator904,BABA,Feb 2,5,98,19.6,7.8%,63%
1239,Jagator904,WW,Mar 1,5,18,3.6,16.4%,30%
1240,Jagator904,MU,Dec 20,5,71,14.2,3.5%,67%
1241,Jagator904,AMZN,Feb 3,4,65,14.4,21.8%,67%
1242,Jagator904,DAL,Jan 18,4,47,11.8,11.5%,61%
1243,Jagator904,YY,Mar 21,4,74,18.5,7.3%,64%
1244,Jagator904,GOOGL,Feb 2,4,50,12.5,9.0%,53%
1245,Jagator904,TGT,Mar 8,4,49,12.3,3.9%,62%
1246,Jagator904,IAC,Feb 2,3,40,13.3,30.8%,66%
1247,Jagator904,DIS,Feb 8,3,29,9.7,34.1%,51%
1248,Jagator904,BIDU,Feb 24,3,57,19,10.0%,65%
1249,Jagator904,TCOM,Dec 15,3,25,8.3,26.2%,40%
1250,Jagator904,WGO,Dec 17,3,51,17,13.3%,68%
1251,Jagator904,GE,Jan 27,3,66,22,9.9%,66%
1252,Jagator904,CAR,Feb 23,3,16,5.3,13.4%,43%
1253,Jagator904,BCOR,Feb 17,3,30,10,26.8%,54%
1254,Jagator904,LOW,Feb 23,3,-1,-0.3,6.3%,45%
1255,Jagator904,GS,Jan 18,3,7,2.3,12.6%,54%
1256,Jagator904,HD,Feb 22,3,-2,-0.7,4.2%,64%
1257,Jagator904,JNJ,Jan 25,3,59,19.7,3.0%,56%
1258,Analyst_5877488,CWH,Mar 10,1,17,17,14.2%,75%
1259,JH839712,MNRO,Feb 3,15,-14,-0.9,14.8%,34%
1260,JH839712,LYFT,Feb 15,10,-49,-4.7,37.7%,26%
1261,JH839712,LKQ,Feb 24,9,94,9.9,16.8%,45%
1262,JH839712,LYV,Feb 24,9,44,4.6,27.5%,44%
1263,JH839712,CPRT,Feb 22,9,99,10.4,10.1%,58%
1264,JH839712,KAR,Feb 22,9,130,14.4,29.9%,62%
1265,JH839712,RBA,Feb 24,9,91,9.6,20.4%,46%
1266,JH839712,UNF,Jan 5,9,-7,-0.7,16.3%,25%
1267,JH839712,CTAS,Dec 22,9,20,2.2,10.1%,22%
1268,JH839712,URI,Jan 26,9,25,2.6,10.6%,32%
1269,JH839712,CAR,Feb 23,9,44,4.6,39.3%,54%
1270,JH839712,AN,Feb 4,9,-12,-1.3,24.0%,24%
1271,JH839712,KMX,Dec 22,9,49,5.4,15.9%,43%
1272,JH839712,KFRC,Feb 8,9,111,11.7,8.5%,66%
1273,JH839712,MAN,Feb 1,9,99,10.4,17.1%,51%
1274,JH839712,RHI,Feb 1,9,82,8.6,8.8%,57%
1275,JH839712,TBI,Feb 9,9,-10,-1.1,31.9%,30%
1276,JH839712,PAG,Feb 10,8,-23,-2.7,18.8%,42%
1277,JH839712,GT,Feb 8,7,-16,-2.3,56.8%,24%
1278,JH839712,UBER,Feb 9,5,66,13.2,40.9%,46%
1279,JH839712,VVI,Feb 10,4,29,7.3,26.5%,52%
1280,JH839712,WWE,Feb 10,4,22,5.5,42.5%,28%
1281,JH839712,KELYA,Feb 3,4,48,12,43.2%,67%
1282,JH839712,IAA,Mar 23,2,7,2.8,16.6%,32%
1283,Buck_731812,RUSHA,Feb 16,5,57,11.4,25.3%,56%
1284,Buck_731812,PAG,Feb 10,3,-35,-11.7,50.5%,24%
1285,"Dave King, CFA",PLNT,Mar 1,21,-72,-3.4,21.3%,26%
1286,"Dave King, CFA",CLAR,Mar 14,21,-29,-1.4,36.8%,21%
1287,"Dave King, CFA",ELY,Feb 9,19,-56,-2.9,29.2%,22%
1288,"Dave King, CFA",VSTO,Feb 10,18,183,10.2,30.6%,44%
1289,"Dave King, CFA",TLYS,Mar 14,17,49,2.9,24.5%,34%
1290,"Dave King, CFA",GOLF,Mar 3,16,-18,-1.1,23.2%,44%
1291,"Dave King, CFA",PLT,Feb 1,9,16,1.8,7.1%,36%
1292,"Dave King, CFA",ESCA,Feb 24,7,30,4.3,17.0%,48%
1293,"Dave King, CFA",CODI,Mar 2,7,27,3.9,43.6%,46%
1294,"Dave King, CFA",PSMT,Jan 6,6,26,4.3,5.8%,54%
1295,Analyst_4982024,FL,Feb 25,1,-16,-16,6.3%,18%
1296,Analyst_2668883,CPB,Feb 18,2,45,22.5,5.2%,56%
1297,Analyst_2668883,WDC,Jan 27,2,9,4.5,8.6%,63%
1298,Analyst_2668883,MU,Dec 20,2,24,12,10.9%,60%
1299,Analyst_2668883,KSS,Feb 24,1,-6,-6,4.1%,59%
1300,Analyst_2668883,TGT,Mar 8,1,9,9,1.5%,63%
1301,Analyst_2668883,CENX,Feb 24,1,24,24,0.7%,74%
1302,Analyst_2668883,BRK-B,Feb 21,1,-8,-8,33.8%,28%
1303,Analyst_2668883,CPSI,Feb 10,1,27,27,3.6%,85%
1304,Analyst_2668883,FLS,Feb 17,1,-12,-12,53.5%,8%
1305,Analyst_2668883,DE,Feb 18,1,36,36,5.3%,93%
1306,Analyst_2668883,CSCO,Feb 16,1,24,24,0.1%,80%
1307,Analyst_2668883,SNX,Jan 11,1,-1,-1,31.4%,14%
1308,Analyst_2668883,ZBRA,Feb 24,1,-13,-13,2.9%,14%
1309,Analyst_2668883,ZG,Feb 10,1,2,2,24.4%,21%
1310,Analyst_2668883,TWTR,Feb 10,1,22,22,1.1%,78%
1311,Analyst_2668883,ETSY,Mar 1,1,7,7,24.7%,25%
1312,Analyst_2668883,INTC,Jan 26,1,27,27,6.4%,74%
1313,Analyst_2668883,MCHP,Feb 8,1,7,7,3.0%,56%
1314,Analyst_2668883,NVDA,Feb 17,1,8,8,6.9%,62%
1315,Analyst_2668883,ADBE,Dec 16,1,9,9,1.3%,47%
1316,Analyst_2668883,NLOK,Feb 3,1,9,9,36.7%,12%
1317,Analyst_2668883,ZM,Mar 9,1,2,2,28.2%,25%
1318,Analyst_2668883,FL,Feb 25,1,-31,-31,9.2%,2%
1319,Analyst_2668883,BKNG,Mar 2,1,43,43,0.4%,86%
1320,Analyst_2668883,MDB,Mar 16,1,4,4,29.0%,25%
1321,Analyst_2668883,PINS,Feb 10,1,20,20,15.6%,58%
1322,Analyst_2668883,VMW,Feb 24,1,10,10,6.3%,57%
1323,Analyst_2668883,WDAY,Feb 28,1,15,15,4.5%,40%
1324,Analyst_2668883,SPLK,Mar 3,1,-5,-5,2.5%,61%
1325,Analyst_2668883,HCI,Mar 10,1,-6,-6,9.8%,60%
1326,TV447703,SIG,Mar 17,15,100,6.7,24.7%,46%
1327,TV447703,AAN,Feb 22,14,90,6.4,9.7%,53%
1328,TV447703,RCII,Feb 23,14,66,4.7,14.4%,33%
1329,TV447703,TJX,Mar 2,14,89,6.4,15.4%,48%
1330,TV447703,AZO,Mar 1,10,14,1.4,9.0%,41%
1331,TV447703,ORLY,Feb 9,10,110,11,7.4%,56%
1332,TV447703,ROST,Mar 1,10,-213,-21.3,39.0%,8%
1333,TV447703,AAP,Feb 22,10,107,10.7,9.0%,64%
1334,TV447703,FLWS,Feb 3,5,70,14,20.0%,39%
1335,Analyst_5039344,NVDA,Feb 17,16,315,19.7,9.3%,66%
1336,Analyst_5039344,NFLX,Jan 18,15,167,11.1,8.6%,61%
1337,Analyst_5039344,AMZN,Feb 3,15,298,19.9,15.7%,64%
1338,Analyst_5039344,DIS,Feb 8,15,179,11.9,18.1%,58%
1339,Analyst_5039344,CRM,Mar 1,15,367,24.5,8.4%,69%
1340,Analyst_5039344,AAPL,Feb 1,14,315,22.5,5.1%,68%
1341,Analyst_5039344,LULU,Dec 9,13,337,25,6.4%,69%
1342,Analyst_5039344,MSFT,Jan 27,13,325,25,4.0%,71%
1343,Analyst_5039344,GOOGL,Feb 2,13,172,13.2,9.2%,58%
1344,Analyst_5039344,ADBE,Dec 16,13,322,24.8,2.0%,64%
1345,Analyst_5039344,ROKU,Feb 24,12,211,17.6,32.7%,60%
1346,Analyst_5039344,SHOP,Feb 16,12,302,25.2,26.4%,70%
1347,Analyst_5039344,TWLO,Feb 15,11,214,19.5,38.9%,55%
1348,Analyst_5039344,TGT,Mar 8,10,55,5.5,8.0%,48%
1349,Analyst_5039344,ZM,Mar 9,10,243,24.3,20.7%,64%
1350,Analyst_5039344,SPLK,Mar 3,10,74,7.4,26.2%,49%
1351,Analyst_5039344,MU,Dec 20,10,257,25.7,4.4%,66%
1352,Analyst_5039344,OKTA,Mar 10,10,274,27.4,24.3%,72%
1353,Analyst_5039344,WDAY,Feb 28,10,293,29.3,6.2%,71%
1354,Analyst_5039344,RNG,Feb 14,9,185,20.6,5.6%,58%
1355,Analyst_5039344,TTD,Feb 17,9,145,16.1,17.7%,55%
1356,Analyst_5039344,TEAM,Jan 20,9,247,27.4,4.0%,72%
1357,Analyst_5039344,PTON,Feb 9,8,171,21.4,29.7%,66%
1358,Analyst_5039344,COUP,Mar 14,8,215,26.9,23.4%,70%
1359,Analyst_5039344,SBUX,Jan 27,8,108,13.5,5.1%,58%
1360,Analyst_5039344,BABA,Feb 2,8,107,13.4,8.0%,59%
1361,Analyst_5039344,NKE,Dec 20,8,72,9,18.1%,48%
1362,Analyst_5039344,COST,Dec 9,8,117,14.6,4.7%,51%
1363,Analyst_5039344,AYX,Feb 23,8,180,22.5,36.2%,74%
1364,Analyst_5039344,NOW,Jan 26,7,172,24.6,3.2%,64%
1365,kerry burrell,MS,Jan 20,33,620,18.8,10.0%,60%
1366,kerry burrell,WFC,Jan 14,33,434,13.2,5.9%,61%
1367,kerry burrell,INTC,Jan 26,32,665,20.8,6.2%,61%
1368,kerry burrell,WMT,Feb 17,31,388,12.5,2.9%,58%
1369,kerry burrell,PEP,Feb 10,30,553,18.4,2.3%,58%
1370,kerry burrell,WEN,Feb 24,30,344,11.5,7.2%,60%
1371,kerry burrell,USB,Jan 19,29,336,11.6,2.0%,62%
1372,kerry burrell,JPM,Jan 14,29,441,15.2,6.2%,57%
1373,kerry burrell,KO,Feb 9,28,515,18.4,2.7%,61%
1374,kerry burrell,MCD,Jan 24,28,385,13.8,3.8%,59%
1375,kerry burrell,DAL,Jan 18,28,250,8.9,5.0%,57%
1376,kerry burrell,UAA,Feb 15,28,440,15.7,20.2%,60%
1377,kerry burrell,KBH,Jan 12,28,403,14.4,10.1%,58%
1378,kerry burrell,ORCL,Dec 9,28,457,16.3,2.7%,61%
1379,kerry burrell,TGT,Mar 8,28,464,16.6,6.0%,61%
1380,kerry burrell,MA,Feb 3,28,548,19.6,3.4%,55%
1381,kerry burrell,TXN,Jan 26,27,380,14.1,3.8%,58%
1382,kerry burrell,KR,Mar 3,27,381,14.1,3.3%,60%
1383,kerry burrell,BAC,Jan 18,27,446,16.5,5.4%,62%
1384,kerry burrell,CRM,Mar 1,27,630,23.3,6.5%,58%
1385,kerry burrell,BLK,Jan 14,27,248,9.2,4.1%,58%
1386,kerry burrell,WDAY,Feb 28,27,659,24.4,18.4%,64%
1387,kerry burrell,T,Jan 26,27,376,13.9,2.5%,61%
1388,kerry burrell,STZ,Jan 6,27,396,14.7,5.2%,55%
1389,kerry burrell,WBA,Jan 6,27,389,14.4,4.2%,58%
1390,kerry burrell,ADBE,Dec 16,26,510,19.6,3.1%,59%
1391,kerry burrell,ULTA,Mar 10,26,400,15.4,7.4%,58%
1392,kerry burrell,DPZ,Feb 24,26,401,15.4,4.3%,56%
1393,kerry burrell,LMT,Feb 1,26,412,15.8,3.9%,56%
1394,kerry burrell,SBUX,Jan 27,26,318,12.2,5.0%,60%
1395,Analyst_8330548,LL,Mar 1,1,-3,-3,15.4%,77%
1396,Analyst_8330548,SYK,Jan 25,1,38,38,0.3%,71%
1397,Analyst_8330548,SWKS,Jan 27,1,7,7,2.5%,47%
1398,Analyst_6875051,DKS,Mar 8,1,34,34,1.1%,83%
1399,Analyst_6875051,TGT,Mar 8,1,36,36,1.0%,74%
1400,Analyst_8075381,TSLA,Feb 2,8,159,19.9,25.7%,65%
1401,Analyst_8075381,PEP,Feb 10,6,99,16.5,2.9%,57%
1402,Analyst_8075381,OMC,Feb 17,5,111,22.2,4.8%,65%
1403,Analyst_8075381,LNN,Jan 6,5,22,4.4,11.5%,58%
1404,Analyst_8075381,NFLX,Jan 18,5,119,23.8,12.7%,63%
1405,Analyst_8075381,DPZ,Feb 24,5,29,5.8,7.9%,54%
1406,Analyst_8075381,AAPL,Feb 1,5,88,17.6,9.8%,55%
1407,Analyst_8075381,DAL,Jan 18,5,60,12,9.4%,61%
1408,Analyst_8075381,JNJ,Jan 25,5,55,11,4.6%,55%
1409,Analyst_8075381,CNK,Feb 25,4,54,13.5,43.4%,67%
1410,Analyst_8075381,WWE,Feb 10,4,10,2.5,29.6%,49%
1411,Analyst_8075381,HOG,Feb 1,4,33,8.3,28.7%,45%
1412,Analyst_8075381,KDP,Mar 3,4,54,13.5,2.3%,60%
1413,Analyst_8075381,VIAC,Feb 17,4,97,24.3,11.7%,66%
1414,Analyst_8075381,CCO,Mar 3,4,47,11.8,18.0%,64%
1415,Analyst_8075381,DISH,Feb 23,4,29,7.3,7.5%,54%
1416,Analyst_8075381,JJSF,Jan 24,4,45,11.3,25.5%,70%
1417,Analyst_8075381,COST,Dec 9,4,59,14.8,3.5%,61%
1418,Analyst_8075381,HSY,Feb 3,4,45,11.3,3.1%,57%
1419,Analyst_8075381,NYT,Feb 3,4,15,3.8,20.2%,55%
1420,Analyst_8075381,MDLZ,Feb 2,4,61,15.3,2.5%,55%
1421,Analyst_8075381,TAP,Feb 24,4,77,19.3,11.0%,60%
1422,Analyst_8075381,IPG,Feb 11,4,116,29,6.2%,61%
1423,Analyst_8075381,KO,Feb 9,4,60,15,2.7%,63%
1424,Analyst_8075381,SAM,Feb 23,4,28,7,18.5%,50%
1425,Analyst_8075381,MKC,Jan 27,4,2,0.5,6.6%,34%
1426,Analyst_8075381,NWSA,Feb 10,4,60,15,33.3%,50%
1427,Analyst_8075381,MO,Jan 27,4,74,18.5,3.3%,61%
1428,Analyst_8075381,CAG,Jan 6,4,89,22.3,4.7%,69%
1429,Analyst_8075381,SBGI,Feb 23,4,60,15,26.1%,52%
1430,Analyst_6530457,ORLY,Feb 9,4,-27,-6.8,11.5%,28%
1431,Analyst_6530457,HD,Feb 22,4,-7,-1.8,7.4%,44%
1432,Analyst_8459943,BBWI,Feb 23,1,-6,-6,2.2%,52%
1433,Analyst_6356544,FDX,Dec 16,4,17,4.3,10.1%,49%
1434,Analyst_6356544,NKE,Dec 20,4,6,1.5,6.9%,37%
1435,Analyst_6356544,CMG,Feb 8,2,65,32.5,3.6%,74%
1436,Analyst_6356544,V,Feb 3,2,36,18,3.8%,34%
1437,Analyst_6356544,SNX,Jan 11,2,47,23.5,22.3%,67%
1438,Analyst_6356544,AMZN,Feb 3,2,44,22,24.8%,52%
1439,Analyst_6356544,UNP,Jan 27,2,28,14,4.2%,48%
1440,Analyst_6356544,NFLX,Jan 18,2,10,5,4.5%,60%
1441,Analyst_6356544,EBAY,Feb 2,2,66,33,2.0%,67%
1442,Analyst_6356544,NVDA,Feb 17,2,28,14,7.6%,48%
1443,Analyst_6356544,SKX,Feb 10,2,6,3,7.0%,71%
1444,Analyst_6356544,CSCO,Feb 16,2,-18,-9,3.7%,35%
1445,Analyst_6356544,MU,Dec 20,2,49,24.5,3.2%,72%
1446,Analyst_6356544,DE,Feb 18,2,31,15.5,8.2%,55%
1447,Analyst_6356544,NUS,Feb 17,1,-23,-23,2.7%,10%
1448,Analyst_6356544,GIS,Dec 21,1,-3,-3,2.2%,67%
1449,Analyst_6356544,CAG,Jan 6,1,29,29,3.0%,63%
1450,Analyst_6356544,HSY,Feb 3,1,27,27,1.0%,74%
1451,Analyst_6356544,WMT,Feb 17,1,9,9,12.0%,28%
1452,Analyst_6356544,COST,Dec 9,1,19,19,4.6%,66%
1453,Analyst_6356544,HAS,Feb 7,1,22,22,16.4%,77%
1454,Analyst_6356544,RL,Feb 3,1,17,17,28.7%,78%
1455,Analyst_6356544,TSLA,Feb 2,1,7,7,49.0%,53%
1456,Analyst_6356544,GM,Feb 1,1,25,25,4.6%,69%
1457,Analyst_6356544,GT,Feb 8,1,31,31,8.6%,81%
1458,Analyst_6356544,CMCSA,Jan 27,1,22,22,4.2%,69%
1459,Analyst_6356544,LEN,Dec 15,1,39,39,1.6%,67%
1460,Analyst_6356544,TOL,Feb 22,1,-4,-4,13.7%,70%
1461,Analyst_6356544,HAIN,Feb 10,1,28,28,38.0%,73%
1462,Analyst_6356544,COTY,Feb 10,1,-7,-7,9.1%,49%
1463,Analyst_1545252,AEO,Mar 2,3,13,4.3,6.4%,44%
1464,Analyst_1545252,LOW,Feb 23,3,38,12.7,7.9%,60%
1465,Analyst_1545252,TGT,Mar 8,2,-12,-6,4.4%,52%
1466,Analyst_1545252,TJX,Mar 2,2,65,32.5,27.7%,78%
1467,Analyst_1545252,OLLI,Apr 6,2,49,24.5,4.6%,48%
1468,Analyst_1545252,ROST,Mar 1,2,33,16.5,32.5%,67%
1469,Analyst_1545252,BBBY,Jan 6,1,-5,-5,22.1%,62%
1470,Analyst_1545252,FL,Feb 25,1,-10,-10,2.7%,34%
1471,Analyst_1545252,DKS,Mar 8,1,25,25,2.0%,60%
1472,Analyst_1545252,DBI,Mar 15,1,20,20,13.1%,61%
1473,Analyst_1545252,FIVE,Mar 23,1,28,28,36.1%,78%
1474,Analyst_1545252,JWN,Mar 3,1,9,9,46.2%,79%
1475,Analyst_1545252,BIG,Mar 4,1,6,6,7.1%,53%
1476,Analyst_1545252,CASY,Mar 7,1,-7,-7,7.8%,44%
1477,Analyst_1545252,SPOT,Feb 9,1,27,27,8.1%,70%
1478,Analyst_1545252,NKE,Dec 20,1,5,5,11.4%,44%
1479,Analyst_1545252,VRA,Mar 9,1,8,8,8.3%,65%
1480,Analyst_1545252,LOCO,Mar 10,1,23,23,3.2%,77%
1481,Analyst_1545252,URBN,Mar 8,1,-7,-7,3.9%,54%
1482,Analyst_1545252,WSM,Mar 16,1,-12,-12,33.2%,7%
1483,Analyst_4378361,HD,Feb 22,1,34,34,2.6%,61%
1484,Analyst_1765893,FL,Feb 25,4,24,6,3.2%,54%
1485,Analyst_1765893,LCI,Feb 2,3,20,6.7,18.0%,31%
1486,Analyst_3133203,TWTR,Feb 10,2,27,13.5,7.0%,60%
1487,Analyst_3133203,NFLX,Jan 18,2,32,16,12.5%,57%
1488,Analyst_3133203,TTWO,Feb 9,2,-36,-18,20.1%,23%
1489,Analyst_3133203,GD,Jan 26,2,39,19.5,2.6%,63%
1490,Analyst_3133203,WYNN,Feb 10,1,16,16,3.2%,70%
1491,Analyst_3133203,YUM,Feb 10,1,11,11,8.1%,50%
1492,Analyst_3133203,FL,Feb 25,1,11,11,2.4%,59%
1493,Analyst_3133203,XOM,Feb 1,1,13,13,16.7%,65%
1494,Analyst_3133203,GS,Jan 18,1,-8,-8,36.8%,27%
1495,Analyst_3133203,NVDA,Feb 17,1,36,36,3.2%,78%
1496,Analyst_3133203,EA,Feb 1,1,17,17,17.8%,39%
1497,Analyst_3133203,PYPL,Feb 2,1,36,36,0.7%,72%
1498,Analyst_3133203,ACRX,Mar 10,1,11,11,55.6%,56%
1499,Analyst_3133203,SNAP,Feb 8,1,16,16,16.9%,76%
1500,Analyst_3133203,PM,Feb 3,1,4,4,3.4%,45%
1501,Analyst_3133203,PINS,Feb 10,1,-9,-9,58.2%,22%
1502,Analyst_3133203,TSLA,Feb 2,1,-7,-7,18.9%,46%
1503,Analyst_3133203,VIAC,Feb 17,1,8,8,24.8%,71%
1504,Analyst_3133203,MCD,Jan 24,1,15,15,0.7%,69%
1505,Analyst_8382161,HD,Feb 22,1,34,34,2.9%,57%
1506,Analyst_8382161,TGT,Mar 8,1,34,34,1.2%,72%
1507,Buck_142278,ULTA,Mar 10,15,-57,-3.8,4.1%,30%
1508,Buck_142278,BBWI,Feb 23,14,-8,-0.6,10.9%,33%
1509,Buck_142278,RH,Mar 29,14,-31,-2.2,19.4%,29%
1510,Buck_142278,WSM,Mar 16,14,6,0.4,4.3%,31%
1511,Buck_142278,GPS,Mar 3,14,46,3.3,5.7%,36%
1512,Buck_142278,SBH,Feb 3,13,162,12.5,2.9%,59%
1513,Buck_142278,URBN,Mar 8,13,-175,-13.5,12.2%,13%
1514,Buck_142278,FIVE,Mar 23,13,150,11.5,9.8%,51%
1515,Buck_142278,W,Feb 24,12,-135,-11.3,23.4%,17%
1516,Buck_142278,OLLI,Apr 6,11,-113,-10.3,10.3%,18%
1517,Buck_142278,LULU,Dec 9,10,-173,-17.3,12.7%,6%
1518,Buck_142278,PLCE,Mar 8,9,-17,-1.9,14.4%,32%
1519,Buck_142278,AEO,Mar 2,9,-129,-14.3,10.2%,20%
1520,Buck_142278,DG,Mar 17,7,-62,-8.9,6.0%,28%
1521,Buck_142278,DLTR,Mar 2,7,20,2.9,4.1%,44%
1522,Analyst_359083,TSLA,Feb 2,2,10,5,34.8%,48%
1523,Analyst_359083,MED,Mar 10,1,31,31,3.3%,99%
1524,Analyst_359083,LOGI,Jan 17,1,29,29,12.5%,100%
1525,Analyst_359083,SNAP,Feb 8,1,-3,-3,27.4%,12%
1526,Analyst_4751723,VZ,Jan 25,4,125,31.3,0.6%,73%
1527,Analyst_4751723,AMZN,Feb 3,4,6,1.5,8.5%,53%
1528,Analyst_4751723,ETSY,Mar 1,4,24,6,10.9%,53%
1529,Analyst_4751723,FTNT,Feb 9,3,90,30,3.5%,72%
1530,Analyst_4751723,V,Feb 3,3,63,21,1.2%,65%
1531,Analyst_4751723,DIS,Feb 8,3,-4,-1.3,9.4%,56%
1532,Analyst_4751723,SQ,Mar 2,3,30,10,29.4%,41%
1533,Analyst_4751723,ZM,Mar 9,2,46,23,25.1%,59%
1534,Analyst_4751723,OKTA,Mar 10,2,33,16.5,47.8%,41%
1535,Analyst_4751723,NFLX,Jan 18,2,19,9.5,4.5%,68%
1536,Analyst_4751723,TEAM,Jan 20,2,24,12,8.0%,40%
1537,Analyst_4751723,ROKU,Feb 24,2,53,26.5,4.1%,72%
1538,Analyst_4751723,EA,Feb 1,2,19,9.5,2.9%,60%
1539,Analyst_4751723,BKNG,Mar 2,2,51,25.5,5.4%,70%
1540,Analyst_4751723,UNH,Jan 18,2,22,11,1.6%,42%
1541,Analyst_4751723,CRM,Mar 1,2,54,27,1.1%,68%
1542,Analyst_4751723,GOOGL,Feb 2,2,22,11,10.1%,39%
1543,Analyst_4751723,AMD,Feb 1,2,22,11,4.7%,73%
1544,Analyst_4751723,BABA,Feb 2,2,46,23,15.1%,49%
1545,Analyst_4751723,EBAY,Feb 2,2,67,33.5,1.4%,60%
1546,Analyst_4751723,FB,Feb 2,2,46,23,3.8%,58%
1547,Analyst_4751723,BHC,Feb 23,2,-7,-3.5,3.8%,69%
