,Analyst_Name,Username,Roles,Join_date,Confidence,Error,Accuracy_Percentile,Points,Points_Estimate,Stocks,Pending_Estimates
21,Stephanie Wissink,Jefferies_186,Financial Professional,Jun 2017,3.7,-,-,-,-,-,0
22,Analyst_4229857,Analyst_4229857,Non Professional,Mar 2016,6.6,-,-,-,-,-,0
23,Analyst_2206610,Analyst_2206610,Non Professional,Dec 2016,7.3,-,-,-,-,-,0
24,zimmerm66,zimmerm66,Non Professional,Dec 2019,6.3,21.1%,70%,61,15.3,4,0
25,Mark Connollly,NCIA,Financial Professional,Dec 2013,8.5,-,-,-,-,-,0
26,Analyst_8835419,Analyst_8835419,Non Professional,Jan 2017,6.4,-,-,-,-,-,0
27,BR604079,BR604079,Financial Professional,Mar 2019,7.3,13.3%,46%,18,2.8,7,20
28,NR802552,NR802552,Financial Professional,Jul 2017,3.6,14.1%,13%,-66,-12,6,4
29,Analyst_5157814,Analyst_5157814,Non Professional,Jan 2020,7.1,-,-,-,-,-,0
30,CC505328,CC505328,Financial Professional,Dec 2015,4.6,19.0%,45%,33,8.3,8,12
31,Analyst_7440869,Analyst_7440869,Non Professional,Feb 2020,7.1,-,-,-,-,-,0
32,Analyst_3192560,Analyst_3192560,Non Professional,Jan 2020,6.5,-,-,-,-,-,0
33,Analyst_3909404,Analyst_3909404,Other,Sep 2016,7.3,-,-,-,-,-,0
34,Analyst_589004,Analyst_589004, ,Mar 2020,7.1,-,-,-,-,-,0
35,Buck_446488,Buck_446488,Financial Professional,Oct 2018,4.1,19.4%,4%,-36,-18,2,1
36,Analyst_9387580,Analyst_9387580,Non Professional,Oct 2017,8.5,-,-,-,-,-,0
37,Analyst_3644200,Analyst_3644200,Non Professional,Dec 2019,7.2,-,-,-,-,-,0
38,kyleevanmurphy,kyleevanmurphy,Non Professional,May 2019,3.5,-,-,-,-,-,0
39,Analyst_5841627,Analyst_5841627,Non Professional,Aug 2018,3.9,100.0%,0%,-39,-39,1,4
40,woldmark843,woldmark843,Financial Professional,Feb 2020,6.4,-,-,-,-,-,0
41,Analyst_7227115,Analyst_7227115,Non Professional,Mar 2020,6.7,26.5%,30%,-60,-4.3,14,19
42,Analyst_2059933,Analyst_2059933,Non Professional,Feb 2020,6.8,-,-,-,-,-,0
43,Medic2525,Medic2525,Non Professional,Apr 2019,8.3,28.0%,24%,-53,-5.3,10,2
44,Analyst_6143517,Analyst_6143517,Non Professional,Oct 2016,8.1,18.8%,54%,73,8.1,9,4
45,Analyst_5650290,Analyst_5650290, ,Apr 2015,6.5,-,-,-,-,-,0
46,Analyst_8847345,Analyst_8847345,Non Professional,Dec 2019,N/A,-,-,-,-,-,0
47,Ben McCann,benmccann,Non Professional,Apr 2013,7.4,-,-,-,-,-,0
48,Analyst_1844295,Analyst_1844295,Non Professional,Nov 2019,4.3,-,-,-,-,-,0
49,Analyst_6431686,Analyst_6431686,Non Professional,Jan 2020,8.5,-,-,-,-,-,0
50,Analyst_883247,Analyst_883247,Non Professional,Oct 2015,8.7,17.4%,61%,"1,233",16.6,75,15
51,Analyst_4146227,Analyst_4146227,Non Professional,Apr 2019,8.0,-,-,-,-,-,0
52,Analyst_4542500,Analyst_4542500, ,Jan 2020,6.7,-,-,-,-,-,0
53,Analyst_384218,Analyst_384218, ,Jul 2019,5.6,-,-,-,-,-,0
54,Analyst_14616,Analyst_14616, ,Jan 2019,6.8,-,-,-,-,-,0
55,Rick Weinhart,weinhart,Financial Professional,Mar 2015,7.2,-,-,-,-,-,0
56,Analyst_4903215,Analyst_4903215, ,Oct 2017,8.3,3.4%,48%,28,14,2,0
57,Earnings AI,earnings_ai,Financial Professional,May 2019,5.4,-,-,-,-,-,0
58,Analyst_3715541,Analyst_3715541, ,Mar 2016,7.0,13.7%,46%,250,11.9,21,0
59,Analyst_5929172,Analyst_5929172,Non Professional,Feb 2019,7.3,-,-,-,-,-,0
60,Ralf Koenigs,Togger68,Non Professional,Oct 2012,7.1,-,-,-,-,-,0
61,Analyst_783524,Analyst_783524,Non Professional,Feb 2020,8.0,-,-,-,-,-,0
62,Analyst_8886337,Analyst_8886337,Non Professional,Mar 2020,7.0,-,-,-,-,-,0
63,Buck_138258,Buck_138258,Financial Professional,Aug 2015,6.4,-,-,-,-,-,0
64,Rick Patel,Needham_32,Financial Professional,Jul 2017,4.7,44.6%,7%,-58,-12.9,8,33
65,Analyst_4890225,Analyst_4890225,Non Professional,Feb 2020,7.2,-,-,-,-,-,0
66,bdolphin,bdolphin,Non Professional,Feb 2019,7.9,-,-,-,-,-,0
67,Aragorn63,Aragorn63,Non Professional,Feb 2014,7.9,-,-,-,-,-,0
68,Analyst_7545489,Analyst_7545489,Non Professional,Jan 2019,7.7,-,-,-,-,-,0
69,Analyst_6421915,Analyst_6421915, ,Jun 2018,4.3,57.0%,0%,-42,-42,1,0
70,Analyst_5539859,Analyst_5539859,Non Professional,Apr 2016,7.2,-,-,-,-,-,0
71,dsadhvani,dsadhvani,Non Professional,Jul 2016,8.0,12.6%,38%,16,16,1,2
72,Richard Wickstrom,RWICK27,Non Professional,Jul 2015,8.7,-,-,-,-,-,0
73,Analyst_1237625,Analyst_1237625,Financial Professional,Nov 2018,6.9,-,-,-,-,-,0
74,Analyst_5834275,Analyst_5834275,Non Professional,Mar 2018,8.4,-,-,-,-,-,0
75,Analyst_904101,Analyst_904101,Non Professional,Feb 2020,6.8,-,-,-,-,-,0
76,Analyst_5597176,Analyst_5597176,Non Professional,Oct 2019,6.8,-,-,-,-,-,0
77,Analyst_703153,Analyst_703153,Non Professional,Jan 2017,7.0,45.2%,52%,18,3,6,1
78,Darren Aftahi,Roth_17,Financial Professional,Oct 2015,5.3,18.7%,53%,64,12.8,5,26
79,Jagator904,Jagator904,Financial Professional,Jan 2018,7.9,13.8%,60%,542,15.1,36,10
