,Analysts,Ticker,Quarter,Reported,Rank,EPS_Points,Revenue_Points,Total_Points
1046,Rick Patel,UAA,Q2 2021,"Aug 3, 2021",29 / 35,-7,,-7
1047,Rick Patel,COLM,Q2 2021,"Aug 2, 2021",8 / 9,9,,9
1048,Rick Patel,CPRI,Q1 2022,"Jul 30, 2021",12 / 13,-8,,-8
1049,Rick Patel,NKE,Q4 2021,"Jun 24, 2021",45 / 67,-6,18,12
1050,Rick Patel,OXM,Q1 2021,"Jun 9, 2021",4 / 4,-12,11,-1
1051,Rick Patel,GIII,Q1 2022,"Jun 7, 2021",2 / 4,12,,12
1052,Rick Patel,LULU,Q1 2021,"Jun 3, 2021",54 / 55,-25,,-25
1053,Rick Patel,CAL,Q1 2021,"May 28, 2021",7 / 7,-25,8,-17
1054,Analyst_4890225,FL,Q4 2019,"Feb 28, 2020",2 / 39,21,17,38
1055,bdolphin,OMER,Q2 2020,"Aug 10, 2020",12 / 16,-5,-5,-10
1056,bdolphin,NTNX,Q1 2020,"Nov 25, 2019",15 / 36,-2,24,22
1057,bdolphin,NVTA,Q3 2019,"Nov 6, 2019",8 / 31,-3,19,16
1058,bdolphin,TSLA,Q3 2019,"Oct 23, 2019",154 / 512,15,-5,10
1059,bdolphin,SNAP,Q3 2019,"Oct 22, 2019",24 / 122,0,24,24
1060,bdolphin,AMD,Q2 2019,"Jul 30, 2019",151 / 329,-1,-1,-2
1061,bdolphin,NVTA,Q1 2019,"May 7, 2019",23 / 29,-4,-4,-8
1062,bdolphin,ATVI,Q1 2019,"May 2, 2019",108 / 138,-6,-4,-10
1063,bdolphin,XPO,Q1 2019,"May 1, 2019",6 / 13,18,-5,13
1064,bdolphin,SQ,Q1 2019,"May 1, 2019",125 / 190,15,-7,8
1065,bdolphin,AMD,Q1 2019,"Apr 30, 2019",6 / 352,25,24,49
1066,bdolphin,CVX,Q1 2019,"Apr 26, 2019",36 / 57,14,-3,11
1067,bdolphin,AMZN,Q1 2019,"Apr 25, 2019",397 / 441,-4,-2,-6
1068,bdolphin,ILMN,Q1 2019,"Apr 25, 2019",15 / 37,10,14,24
1069,bdolphin,TSLA,Q1 2019,"Apr 24, 2019",224 / 506,-2,-3,-5
1070,bdolphin,TER,Q1 2019,"Apr 23, 2019",1 / 12,15,17,32
1071,bdolphin,SNAP,Q1 2019,"Apr 23, 2019",7 / 146,25,12,37
1072,bdolphin,TWTR,Q1 2019,"Apr 23, 2019",3 / 235,9,25,34
1073,bdolphin,NFLX,Q1 2019,"Apr 16, 2019",28 / 365,11,22,33
1074,bdolphin,BAC,Q1 2019,"Apr 16, 2019",109 / 142,8,-7,1
1075,bdolphin,LULU,Q4 2018,"Mar 27, 2019",53 / 134,11,14,25
1076,bdolphin,SSYS,Q4 2018,"Mar 7, 2019",18 / 23,-4,-3,-7
